Countries,manners,independence,work,responsibility,imagination,respect,money,determination,religious,unselfishness,obedience,continent,y1995,y1996,y1997,y1998,y1999
Hungary,82.8,44.2,33.7,85.1,12.8,63.5,41.7,62.3,17.5,28.8,30.8,Europe,001573,001390,01248,01142,01052
Japan,81.7,60.4,24.4,87.6,25.9,58.3,43.5,61.5,5.8,37.8,6.3,Asia,006771,006544,06196,05957,05584
South Korea,90.9,59.7,62.2,88.1,7.8,46.8,66.3,35.6,16.6,10.6,14.4,Asia,004282,004046,03794,03567,03390
Latvia,51.2,37.8,86.4,79.9,9.5,72.5,41.3,47.6,13.9,20.2,19.4,Europe,000526,000447,00392,00358,00337
Lithuania,33.5,71.9,88.5,73.7,7.1,54.1,39.2,36.2,22.5,28.4,22.9,Europe,000724,000614,00538,00488,00449
Mexico,75.8,39.8,33.1,66.8,27.7,57.3,46.2,39.7,43.6,38.3,49.9,America,086981,082275,77596,73075,68589
Moldova,63.3,35.9,87.3,66.5,12.9,63.4,41.7,29.5,28,9.3,39.4,Europe,002146,002010,01894,01780,01645
New Zealand,76.6,53.7,37.1,58.9,27.8,77.9,25.1,39.3,15.7,32.7,21.9,Australia,000511,000487,00460,00433,00415
Norway,74.8,88.6,10.7,92.3,36.6,65.9,13.2,35.5,11.7,11.2,25.9,Europe,000348,000329,00314,00305,00296
Peru,88,20.8,62.7,77.5,18.6,63,19.1,24.2,51.6,15.6,50.1,America,036910,033823,30917,28275,25900
Philippines,80.4,51.1,57.8,57.9,9.7,47.6,30,28.6,62.7,30.6,44.2,Asia,095970,093699,92286,91423,90750
Poland,63.4,32.2,16,78,11,81.5,56.8,0,0,13.9,48.7,Europe,007419,006507,05486,04539,03833
Puerto Rico,87.2,27.9,30.4,83.8,13.1,74.3,22.8,22,72.4,40.5,52.4,America,000811,000783,00749,00711,00667
Romania,91,50.8,63.6,82.7,39.5,72.1,60.6,63,57.9,23,13.7,Europe,006108,005692,05932,06470,06934
Russia,52.4,27.8,90.7,70.4,5.9,69.5,55,41.4,9.4,21.3,34,Asia,031203,029083,29641,31466,33124
Slovakia,76.7,22.4,70.3,68.9,4.6,57.1,44.5,30.5,28.2,18.9,26.8,Europe,001000,000903,00806,00725,00654
Slovenia,81,71.3,33,70.3,8.1,72,39.5,48.5,19.2,29.2,28.2,Europe,000135,000125,00118,00112,00107
South Africa,86.5,31.2,58.5,48.8,10.6,70,28.7,29.7,61.1,22.4,49.9,Africa,064988,069084,74210,79612,84324
Spain,84.5,24.8,64.4,69.8,21.7,75.6,19,21.2,21.8,14.3,43.8,Europe,003282,002984,02763,02599,02474
Sweden,67.2,60.7,6.6,88.4,39.1,90.4,42.1,31.6,4.8,23.7,15.9,Europe,000556,000486,00420,00365,00323
Switzerland,66.3,42.4,39.6,80.3,23.2,79.3,35,47.6,20.5,29.9,24,Europe,000553,000525,00506,00474,00450
Turkey,89.8,16.3,69.3,59.3,22.1,58.6,32.5,18.7,50.9,19.6,35.7,Europe,074972,070823,67143,63417,59652
Ukraine,48.6,33.7,83.3,65.8,11.2,61.2,48.9,42.1,20.4,18.8,38.2,Europe,010851,010353,09696,08957,08170
Macedonia,91.2,61.9,24.1,73.8,12.1,70.6,44.4,47.1,22.3,60.5,18.4,Europe,000782,000669,00576,00509,00455
United Kingdom,0,49.3,37.8,66.6,0,85.9,28.2,36.1,16.7,0,49.6,Europe,005409,005184,05020,04849,04692
United States,72.8,45.2,52.5,69,26.5,75,26.7,41.5,53.9,36,37.6,America,037467,035983,34294,32985,32269
Uruguay,80.7,49.1,28.6,81.3,30.9,69.7,26.6,41.8,17.4,54.7,28.8,America,001182,001130,01067,01000,00941
Venezuela,90.1,23.2,54.7,74,12.9,57.3,45.2,18.6,43,38.2,50,America,014777,014310,13816,13373,15938
Serbia,80.3,50.7,67.9,64.8,12.7,50.2,29.5,44.3,13.2,28.1,38.5,Europe,002511,002205,01962,01787,01689
Bosnia,88.2,35.2,45.6,61.6,25.5,62.5,39.1,41.1,25.1,26.1,40.9,Europe,000678,00542,00518,00502,00479
